# digits	pinyin	word	frequency
2	a	啊	21810
2	a	阿	6905
2	a	呵	2416
2	a	腌	452
2	a	吁	319
2	a	嗄	109
2	a	锕	67
2	a	吖	21
2	a	ㄚ	1
2	a	錒	1
22	ba	把	108066
22	ba	吧	25526
22	ba	罢	9424
22	ba	八	7422
22	ba	巴	4887
22	ca	擦	2833
22	ba	拔	2607
22	aa	啊啊	2275
22	ba	爸	1670
22	ba	伯	1600
22	ba	坝	919
22	ba	霸	810
22	ca	嚓	158
22	ca	搽	148
22	aa	呵呵	119
22	aa	吁吁	3
22	ca	礤	1
22	ca	囃	1
22	ca	攃	1
22	ca	遪	1
22	ca	䃰	1
22	ca	䌨	1
22	ca	䟃	1
222	aaa	呵呵呵	223
222	aba	阿巴	49
222	aba	阿坝	37
222	aba	阿爸	35
222	aba	阿伯	14
222	aaa	啊啊啊	3
2222	baba	爸爸	2456
2222	aaaa	啊啊啊啊	1804
2222	baba	伯伯	948
2222	baba	粑粑	155
2222	baba	巴巴	27
2222	baba	八八	13
2222	caca	擦擦	3
2222	baba	叭叭	3
2222	caca	嚓嚓	2
2243	baie	把我	19670
2243	bage	把个	12153
2243	bage	八个	1299
2243	aahe	呵呵呵	223
2243	bage	八哥	195
2243	baie	白垩	142
2243	bahe	巴赫	105
2243	bahe	拔河	50
2243	caie	蔡锷	49
2243	bage	伯格	41
2243	baie	白鹅	29
2243	baie	白俄	3
224	bai	把	108066
224	cai	才	55415
224	bai	白	12266
224	cai	菜	8544
224	bai	拜	6338
224	bai	摆	4413
224	bai	百	3336
224	bai	败	3221
224	cai	猜	2365
224	cai	彩	2318
224	cai	采	1996
224	cai	财	1725
224	bai	伯	1600
224	cai	裁	1425
224	cai	蔡	1251
224	cai	踩	1241
224	cai	材	871
224	aai	阿呆	574
224	bai	柏	316
224	bai	呗	255
224	bai	陌	162
224	abi	阿鼻	18
224	abi	阿比	9
226	bao	报	14647
226	ban	办	10314
226	ban	半	8201
226	bao	抱	6044
226	cao	草	5919
226	bao	包	5289
226	bao	保	5119
226	ban	板	5049
226	ban	班	4674
226	ban	版	4626
226	bao	宝	4496
226	cao	操	3353
226	ban	般	3306
226	cao	造	3060
226	ban	搬	2869
226	can	参	2849
226	bao	薄	2710
226	cao	曹	2167
226	cao	槽	1660
226	bao	爆	1593
226	ban	伴	1567
226	bao	堡	1491
226	can	残	1391
226	can	惨	1171
226	ban	斑	1027
226	ban	扮	980
226	bao	暴	742
226	can	餐	627
226	abo	阿波	530
226	can	蚕	384
226	cao	漕	346
226	can	掺	209
226	can	灿	164
226	can	惭	143
226	cao	嘈	118
226	cao	糙	79
226	cao	艹	79
226	bao	曝	70
226	cao	艚	30
226	can	叁	28
2223464	abading	阿伯丁	19
